  0.69999999999999996        21000000000.000000     
    1143          0.31557300E+14
     0.1618530E+06            0.983151000000E+15            0.115963920000E+06
     0.1652490E+06            0.982468000000E+15            0.115930350000E+06
     0.1686460E+06            0.981756000000E+15            0.115895330000E+06
     0.1720420E+06            0.981046000000E+15            0.115860430000E+06
     0.1755170E+06            0.980242000000E+15            0.115820870000E+06
     0.1790690E+06            0.979470000000E+15            0.115782910000E+06
     0.1826220E+06            0.978665000000E+15            0.115743380000E+06
     0.1861740E+06            0.977864000000E+15            0.115703960000E+06
     0.1898060E+06            0.976959000000E+15            0.115659500000E+06
     0.1935160E+06            0.976089000000E+15            0.115616770000E+06
     0.1972250E+06            0.975185000000E+15            0.115572340000E+06
     0.2009350E+06            0.974283000000E+15            0.115528040000E+06
     0.2047240E+06            0.973269000000E+15            0.115478270000E+06
     0.2085920E+06            0.972294000000E+15            0.115430380000E+06
     0.2124610E+06            0.971281000000E+15            0.115380670000E+06
     0.2163290E+06            0.970271000000E+15            0.115331080000E+06
     0.2202770E+06            0.969141000000E+15            0.115275600000E+06
     0.2243040E+06            0.968052000000E+15            0.115222160000E+06
     0.2283310E+06            0.966922000000E+15            0.115166750000E+06
     0.2323590E+06            0.965795000000E+15            0.115111490000E+06
     0.2364660E+06            0.964539000000E+15            0.115049890000E+06
     0.2406530E+06            0.963327000000E+15            0.114990480000E+06
     0.2448400E+06            0.962073000000E+15            0.114928980000E+06
     0.2490280E+06            0.960821000000E+15            0.114867620000E+06
     0.2532950E+06            0.959430000000E+15            0.114799480000E+06
     0.2576430E+06            0.958087000000E+15            0.114733700000E+06
     0.2619910E+06            0.956698000000E+15            0.114665680000E+06
     0.2663390E+06            0.955311000000E+15            0.114597820000E+06
     0.2707670E+06            0.953777000000E+15            0.114522720000E+06
     0.2752760E+06            0.952293000000E+15            0.114450140000E+06
     0.2797850E+06            0.950761000000E+15            0.114375190000E+06
     0.2842930E+06            0.949232000000E+15            0.114300410000E+06
     0.2888830E+06            0.947544000000E+15            0.114217920000E+06
     0.2935530E+06            0.945911000000E+15            0.114138130000E+06
     0.2982240E+06            0.944227000000E+15            0.114055830000E+06
     0.3028940E+06            0.942545000000E+15            0.113973710000E+06
     0.3076460E+06            0.940695000000E+15            0.113883410000E+06
     0.3124780E+06            0.938904000000E+15            0.113795990000E+06
     0.3173100E+06            0.937057000000E+15            0.113705920000E+06
     0.3221420E+06            0.935214000000E+15            0.113616040000E+06
     0.3270560E+06            0.933193000000E+15            0.113517510000E+06
     0.3320500E+06            0.931233000000E+15            0.113422040000E+06
     0.3370450E+06            0.929216000000E+15            0.113323780000E+06
     0.3420390E+06            0.927202000000E+15            0.113225740000E+06
     0.3471150E+06            0.924999000000E+15            0.113118560000E+06
     0.3522720E+06            0.922862000000E+15            0.113014620000E+06
     0.3574300E+06            0.920664000000E+15            0.112907780000E+06
     0.3625870E+06            0.918470000000E+15            0.112801160000E+06
     0.3678250E+06            0.916076000000E+15            0.112684920000E+06
