model:  21
model depth: 10^{10}g/cc
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
 sigma = 0.700000E+00
The model does not account for superfluidity                                                                                                                                                            
#
    1143
       5
   time           timeInYear       radius         rho            temperature     capacity       conductivity       sources
   0.315573E+14   0.100001E+07   0.238446E+05   0.999607E+15    0.11677445E+06   0.302472E+17   0.566907E+27  -0.206749E+04
   0.315573E+14   0.100001E+07   0.249953E+05   0.999569E+15    0.11677259E+06   0.302463E+17   0.566884E+27  -0.206735E+04
   0.315573E+14   0.100001E+07   0.261461E+05   0.999532E+15    0.11677076E+06   0.302453E+17   0.566860E+27  -0.206721E+04
   0.315573E+14   0.100001E+07   0.273579E+05   0.999483E+15    0.11676835E+06   0.302441E+17   0.566833E+27  -0.206702E+04
   0.315573E+14   0.100001E+07   0.286309E+05   0.999438E+15    0.11676613E+06   0.302430E+17   0.566803E+27  -0.206685E+04
   0.315573E+14   0.100001E+07   0.299038E+05   0.999388E+15    0.11676369E+06   0.302418E+17   0.566773E+27  -0.206666E+04
   0.315573E+14   0.100001E+07   0.311767E+05   0.999339E+15    0.11676127E+06   0.302406E+17   0.566742E+27  -0.206648E+04
   0.315573E+14   0.100001E+07   0.325121E+05   0.999276E+15    0.11675816E+06   0.302391E+17   0.566706E+27  -0.206624E+04
   0.315573E+14   0.100001E+07   0.339101E+05   0.999218E+15    0.11675527E+06   0.302376E+17   0.566667E+27  -0.206601E+04
   0.315573E+14   0.100001E+07   0.353080E+05   0.999154E+15    0.11675212E+06   0.302360E+17   0.566628E+27  -0.206577E+04
   0.315573E+14   0.100001E+07   0.367060E+05   0.999091E+15    0.11674900E+06   0.302345E+17   0.566588E+27  -0.206553E+04
   0.315573E+14   0.100001E+07   0.381678E+05   0.999010E+15    0.11674504E+06   0.302325E+17   0.566542E+27  -0.206523E+04
   0.315573E+14   0.100001E+07   0.396936E+05   0.998936E+15    0.11674136E+06   0.302307E+17   0.566493E+27  -0.206494E+04
   0.315573E+14   0.100001E+07   0.412194E+05   0.998855E+15    0.11673736E+06   0.302287E+17   0.566443E+27  -0.206464E+04
   0.315573E+14   0.100001E+07   0.427451E+05   0.998774E+15    0.11673340E+06   0.302267E+17   0.566392E+27  -0.206433E+04
   0.315573E+14   0.100001E+07   0.443361E+05   0.998674E+15    0.11672844E+06   0.302242E+17   0.566334E+27  -0.206395E+04
   0.315573E+14   0.100001E+07   0.459924E+05   0.998580E+15    0.11672381E+06   0.302219E+17   0.566272E+27  -0.206359E+04
   0.315573E+14   0.100001E+07   0.476487E+05   0.998478E+15    0.11671881E+06   0.302194E+17   0.566210E+27  -0.206321E+04
   0.315573E+14   0.100001E+07   0.493049E+05   0.998378E+15    0.11671386E+06   0.302169E+17   0.566146E+27  -0.206283E+04
   0.315573E+14   0.100001E+07   0.510277E+05   0.998254E+15    0.11670773E+06   0.302139E+17   0.566074E+27  -0.206236E+04
   0.315573E+14   0.100001E+07   0.528171E+05   0.998137E+15    0.11670199E+06   0.302110E+17   0.565997E+27  -0.206192E+04
   0.315573E+14   0.100001E+07   0.546064E+05   0.998012E+15    0.11669583E+06   0.302079E+17   0.565920E+27  -0.206144E+04
   0.315573E+14   0.100001E+07   0.563958E+05   0.997888E+15    0.11668971E+06   0.302049E+17   0.565841E+27  -0.206097E+04
   0.315573E+14   0.100001E+07   0.582530E+05   0.997736E+15    0.11668223E+06   0.302011E+17   0.565753E+27  -0.206040E+04
   0.315573E+14   0.100001E+07   0.601779E+05   0.997594E+15    0.11667520E+06   0.301976E+17   0.565659E+27  -0.205986E+04
   0.315573E+14   0.100001E+07   0.621029E+05   0.997441E+15    0.11666768E+06   0.301939E+17   0.565566E+27  -0.205928E+04
   0.315573E+14   0.100001E+07   0.640279E+05   0.997290E+15    0.11666021E+06   0.301902E+17   0.565469E+27  -0.205871E+04
   0.315573E+14   0.100001E+07   0.660218E+05   0.997107E+15    0.11665118E+06   0.301857E+17   0.565362E+27  -0.205802E+04
   0.315573E+14   0.100001E+07   0.680848E+05   0.996934E+15    0.11664267E+06   0.301814E+17   0.565249E+27  -0.205737E+04
   0.315573E+14   0.100001E+07   0.701478E+05   0.996750E+15    0.11663360E+06   0.301769E+17   0.565135E+27  -0.205667E+04
   0.315573E+14   0.100001E+07   0.722108E+05   0.996567E+15    0.11662458E+06   0.301724E+17   0.565018E+27  -0.205598E+04
   0.315573E+14   0.100001E+07   0.743439E+05   0.996348E+15    0.11661377E+06   0.301670E+17   0.564890E+27  -0.205515E+04
   0.315573E+14   0.100001E+07   0.765472E+05   0.996141E+15    0.11660356E+06   0.301619E+17   0.564754E+27  -0.205437E+04
   0.315573E+14   0.100001E+07   0.787505E+05   0.995921E+15    0.11659271E+06   0.301565E+17   0.564618E+27  -0.205354E+04
   0.315573E+14   0.100001E+07   0.809538E+05   0.995702E+15    0.11658192E+06   0.301511E+17   0.564478E+27  -0.205271E+04
   0.315573E+14   0.100001E+07   0.832284E+05   0.995441E+15    0.11656910E+06   0.301447E+17   0.564325E+27  -0.205173E+04
   0.315573E+14   0.100001E+07   0.855743E+05   0.995195E+15    0.11655696E+06   0.301387E+17   0.564164E+27  -0.205080E+04
   0.315573E+14   0.100001E+07   0.879201E+05   0.994934E+15    0.11654410E+06   0.301323E+17   0.564002E+27  -0.204982E+04
   0.315573E+14   0.100001E+07   0.902660E+05   0.994675E+15    0.11653130E+06   0.301259E+17   0.563836E+27  -0.204884E+04
   0.315573E+14   0.100001E+07   0.926842E+05   0.994368E+15    0.11651621E+06   0.301184E+17   0.563656E+27  -0.204769E+04
   0.315573E+14   0.100001E+07   0.951747E+05   0.994078E+15    0.11650189E+06   0.301112E+17   0.563465E+27  -0.204659E+04
   0.315573E+14   0.100001E+07   0.976652E+05   0.993771E+15    0.11648677E+06   0.301037E+17   0.563275E+27  -0.204544E+04
   0.315573E+14   0.100001E+07   0.100156E+06   0.993465E+15    0.11647172E+06   0.300962E+17   0.563080E+27  -0.204429E+04
   0.315573E+14   0.100001E+07   0.102720E+06   0.993107E+15    0.11645408E+06   0.300874E+17   0.562868E+27  -0.204294E+04
   0.315573E+14   0.100001E+07   0.105357E+06   0.992767E+15    0.11643732E+06   0.300791E+17   0.562645E+27  -0.204167E+04
   0.315573E+14   0.100001E+07   0.107994E+06   0.992409E+15    0.11641966E+06   0.300703E+17   0.562423E+27  -0.204032E+04
   0.315573E+14   0.100001E+07   0.110631E+06   0.992052E+15    0.11640208E+06   0.300615E+17   0.562194E+27  -0.203898E+04
   0.315573E+14   0.100001E+07   0.113343E+06   0.991636E+15    0.11638161E+06   0.300513E+17   0.561948E+27  -0.203742E+04
   0.315573E+14   0.100001E+07   0.116128E+06   0.991241E+15    0.11636212E+06   0.300416E+17   0.561689E+27  -0.203594E+04
   0.315573E+14   0.100001E+07   0.118914E+06   0.990825E+15    0.11634164E+06   0.300314E+17   0.561430E+27  -0.203439E+04
   0.315573E+14   0.100001E+07   0.121700E+06   0.990410E+15    0.11632123E+06   0.300213E+17   0.561165E+27  -0.203284E+04
   0.315573E+14   0.100001E+07   0.124561E+06   0.989931E+15    0.11629763E+06   0.300096E+17   0.560880E+27  -0.203104E+04
   0.315573E+14   0.100001E+07   0.127497E+06   0.989474E+15    0.11627511E+06   0.299984E+17   0.560581E+27  -0.202934E+04
   0.315573E+14   0.100001E+07   0.130433E+06   0.988994E+15    0.11625150E+06   0.299866E+17   0.560282E+27  -0.202755E+04
   0.315573E+14   0.100001E+07   0.133369E+06   0.988516E+15    0.11622796E+06   0.299749E+17   0.559977E+27  -0.202576E+04
   0.315573E+14   0.100001E+07   0.136381E+06   0.987966E+15    0.11620090E+06   0.299615E+17   0.559649E+27  -0.202371E+04
   0.315573E+14   0.100001E+07   0.139469E+06   0.987441E+15    0.11617504E+06   0.299486E+17   0.559305E+27  -0.202176E+04
   0.315573E+14   0.100001E+07   0.142557E+06   0.986891E+15    0.11614796E+06   0.299352E+17   0.558962E+27  -0.201971E+04
   0.315573E+14   0.100001E+07   0.145645E+06   0.986343E+15    0.11612099E+06   0.299218E+17   0.558611E+27  -0.201767E+04
   0.315573E+14   0.100001E+07   0.148809E+06   0.985716E+15    0.11609012E+06   0.299065E+17   0.558236E+27  -0.201535E+04
   0.315573E+14   0.100001E+07   0.152051E+06   0.985115E+15    0.11606057E+06   0.298918E+17   0.557844E+27  -0.201312E+04
   0.315573E+14   0.100001E+07   0.155293E+06   0.984488E+15    0.11602971E+06   0.298765E+17   0.557452E+27  -0.201079E+04
   0.315573E+14   0.100001E+07   0.158534E+06   0.983863E+15    0.11599894E+06   0.298612E+17   0.557051E+27  -0.200848E+04
