model:  21
relative accuracy in total stellar mass SMASS .1000000E-06
central grav.mass density [g/cc] .1000000E+16
stellar mass [g] .3685329E+34 stellr mass [M_{sun}]    0.185E+01
g14 - gravitational acceleration in 10^{14} cm/s^2 .2116947E+01
radius .1245748E+07
spatialKnotsNumber:   1143                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
 spatialKnot      rho            pressure         lagrangianMass      Phi                    redshiftFactor              volumeFactor
.2863086E+05    .9994380E+15    .1954955E+36    .1163833E+30        -0.6070481893E+00         0.5449571075E+00         0.1000301531E+01
.2990378E+05    .9993884E+15    .1954726E+36    .1323737E+30        -0.6070272543E+00         0.5449685163E+00         0.1000328373E+01
.3117670E+05    .9993394E+15    .1954499E+36    .1485019E+30        -0.6070065749E+00         0.5449797860E+00         0.1000353355E+01
.3251214E+05    .9992763E+15    .1954207E+36    .1703622E+30        -0.6069799002E+00         0.5449943234E+00         0.1000388740E+01
.3391009E+05    .9992178E+15    .1953937E+36    .1913212E+30        -0.6069551973E+00         0.5450077865E+00         0.1000418587E+01
.3530804E+05    .9991538E+15    .1953641E+36    .2156294E+30        -0.6069281895E+00         0.5450225061E+00         0.1000453115E+01
.3670599E+05    .9990906E+15    .1953349E+36    .2401200E+30        -0.6069014685E+00         0.5450370699E+00         0.1000485385E+01
.3816785E+05    .9990103E+15    .1952978E+36    .2727239E+30        -0.6068675541E+00         0.5450555548E+00         0.1000530212E+01
.3969361E+05    .9989356E+15    .1952633E+36    .3039867E+30        -0.6068360150E+00         0.5450727456E+00         0.1000568307E+01
.4121937E+05    .9988545E+15    .1952258E+36    .3399150E+30        -0.6068017549E+00         0.5450914202E+00         0.1000611993E+01
.4274513E+05    .9987742E+15    .1951886E+36    .3760802E+30        -0.6067678142E+00         0.5451099213E+00         0.1000652977E+01
.4433614E+05    .9986736E+15    .1951422E+36    .4234673E+30        -0.6067253438E+00         0.5451330728E+00         0.1000708928E+01
.4599240E+05    .9985798E+15    .1950988E+36    .4689210E+30        -0.6066857000E+00         0.5451546844E+00         0.1000756807E+01
.4764866E+05    .9984784E+15    .1950520E+36    .5207381E+30        -0.6066428752E+00         0.5451780310E+00         0.1000811289E+01
.4930492E+05    .9983779E+15    .1950055E+36    .5728575E+30        -0.6066004037E+00         0.5452011860E+00         0.1000862574E+01
.5102773E+05    .9982537E+15    .1949481E+36    .6401880E+30        -0.6065479225E+00         0.5452297996E+00         0.1000931508E+01
.5281709E+05    .9981373E+15    .1948944E+36    .7048049E+30        -0.6064987689E+00         0.5452566003E+00         0.1000990873E+01
.5460645E+05    .9980123E+15    .1948366E+36    .7779408E+30        -0.6064459290E+00         0.5452854123E+00         0.1001057962E+01
.5639581E+05    .9978881E+15    .1947793E+36    .8514573E+30        -0.6063934777E+00         0.5453140140E+00         0.1001121307E+01
.5825297E+05    .9977364E+15    .1947093E+36    .9452265E+30        -0.6063293876E+00         0.5453489644E+00         0.1001205261E+01
.6017793E+05    .9975940E+15    .1946435E+36    .1035273E+31        -0.6062691774E+00         0.5453818009E+00         0.1001277992E+01
.6210289E+05    .9974414E+15    .1945731E+36    .1136538E+31        -0.6062047290E+00         0.5454169510E+00         0.1001359677E+01
.6402786E+05    .9972899E+15    .1945032E+36    .1238275E+31        -0.6061407057E+00         0.5454518716E+00         0.1001437018E+01
.6602183E+05    .9971067E+15    .1944186E+36    .1366551E+31        -0.6060632607E+00         0.5454941157E+00         0.1001538219E+01
.6808481E+05    .9969341E+15    .1943389E+36    .1489822E+31        -0.6059903012E+00         0.5455339161E+00         0.1001626377E+01
.7014779E+05    .9967500E+15    .1942540E+36    .1627647E+31        -0.6059125033E+00         0.5455763592E+00         0.1001724834E+01
.7221077E+05    .9965670E+15    .1941696E+36    .1766052E+31        -0.6058351681E+00         0.5456185531E+00         0.1001818291E+01
.7434391E+05    .9963477E+15    .1940685E+36    .1938737E+31        -0.6057424707E+00         0.5456691329E+00         0.1001939161E+01
.7654722E+05    .9961406E+15    .1939730E+36    .2104808E+31        -0.6056549188E+00         0.5457169093E+00         0.1002044995E+01
.7875053E+05    .9959205E+15    .1938716E+36    .2289512E+31        -0.6055618789E+00         0.5457676851E+00         0.1002162594E+01
.8095384E+05    .9957016E+15    .1937707E+36    .2474919E+31        -0.6054693405E+00         0.5458181920E+00         0.1002274478E+01
.8322842E+05    .9954414E+15    .1936508E+36    .2704033E+31        -0.6053593379E+00         0.5458782367E+00         0.1002417640E+01
.8557428E+05    .9951951E+15    .1935374E+36    .2924544E+31        -0.6052551965E+00         0.5459350881E+00         0.1002543596E+01
.8792013E+05    .9949342E+15    .1934172E+36    .3168619E+31        -0.6051448673E+00         0.5459953240E+00         0.1002682906E+01
.9026599E+05    .9946746E+15    .1932977E+36    .3413540E+31        -0.6050350791E+00         0.5460552712E+00         0.1002815728E+01
.9268417E+05    .9943683E+15    .1931568E+36    .3713529E+31        -0.6049055609E+00         0.5461259998E+00         0.1002984011E+01
.9517468E+05    .9940778E+15    .1930231E+36    .4002483E+31        -0.6047826762E+00         0.5461931145E+00         0.1003132736E+01
.9766519E+05    .9937709E+15    .1928819E+36    .4320907E+31        -0.6046528526E+00         0.5462640278E+00         0.1003296531E+01
.1001557E+06    .9934653E+15    .1927414E+36    .4640336E+31        -0.6045236105E+00         0.5463346328E+00         0.1003453006E+01
.1027195E+06    .9931075E+15    .1925769E+36    .5028397E+31        -0.6043722065E+00         0.5464173563E+00         0.1003649451E+01
.1053567E+06    .9927672E+15    .1924205E+36    .5402484E+31        -0.6042282654E+00         0.5464960138E+00         0.1003823802E+01
.1079939E+06    .9924088E+15    .1922559E+36    .5813048E+31        -0.6040765828E+00         0.5465789140E+00         0.1004015068E+01
.1106310E+06    .9920518E+15    .1920919E+36    .6224798E+31        -0.6039255226E+00         0.5466614866E+00         0.1004198122E+01
.1133425E+06    .9916364E+15    .1919012E+36    .6721225E+31        -0.6037497018E+00         0.5467576095E+00         0.1004425988E+01
.1161282E+06    .9912407E+15    .1917197E+36    .7200159E+31        -0.6035822307E+00         0.5468491833E+00         0.1004629035E+01
.1189139E+06    .9908247E+15    .1915289E+36    .7723817E+31        -0.6034061637E+00         0.5469454739E+00         0.1004850976E+01
.1216996E+06    .9904104E+15    .1913389E+36    .8248860E+31        -0.6032307602E+00         0.5470414184E+00         0.1005063750E+01
.1245605E+06    .9899311E+15    .1911193E+36    .8877405E+31        -0.6030278306E+00         0.5471524406E+00         0.1005326519E+01
.1274965E+06    .9894739E+15    .1909098E+36    .9484284E+31        -0.6028341947E+00         0.5472583992E+00         0.1005561553E+01
.1304326E+06    .9889942E+15    .1906902E+36    .1014551E+32        -0.6026310567E+00         0.5473695795E+00         0.1005817594E+01
.1333686E+06    .9885163E+15    .1904715E+36    .1080834E+32        -0.6024286237E+00         0.5474803964E+00         0.1006063455E+01
.1363806E+06    .9879665E+15    .1902200E+36    .1159659E+32        -0.6021957330E+00         0.5476079143E+00         0.1006364834E+01
.1394687E+06    .9874411E+15    .1899798E+36    .1235826E+32        -0.6019731367E+00         0.5477298233E+00         0.1006635370E+01
.1425567E+06    .9868911E+15    .1897285E+36    .1318542E+32        -0.6017400809E+00         0.5478574899E+00         0.1006929164E+01
.1456447E+06    .9863429E+15    .1894782E+36    .1401443E+32        -0.6015077712E+00         0.5479847772E+00         0.1007211704E+01
.1488094E+06    .9857157E+15    .1891919E+36    .1499416E+32        -0.6012419086E+00         0.5481304853E+00         0.1007555632E+01
.1520509E+06    .9851153E+15    .1889181E+36    .1594160E+32        -0.6009873972E+00         0.5482700085E+00         0.1007865417E+01
.1552925E+06    .9844880E+15    .1886321E+36    .1696733E+32        -0.6007214182E+00         0.5484158562E+00         0.1008200849E+01
.1585340E+06    .9838626E+15    .1883473E+36    .1799519E+32        -0.6004562260E+00         0.5485613111E+00         0.1008523893E+01
.1618529E+06    .9831506E+15    .1880231E+36    .1920277E+32        -0.6001542253E+00         0.5487270020E+00         0.1008914545E+01
.1652493E+06    .9824681E+15    .1877126E+36    .2037144E+32        -0.5998646871E+00         0.5488859024E+00         0.1009267560E+01
.1686457E+06    .9817562E+15    .1873890E+36    .2163303E+32        -0.5995626240E+00         0.5490517256E+00         0.1009648750E+01
.1720422E+06    .9810463E+15    .1870665E+36    .2289702E+32        -0.5992613876E+00         0.5492171449E+00         0.1010016361E+01
.1755166E+06    .9802418E+15    .1867013E+36    .2437378E+32        -0.5989199311E+00         0.5494047107E+00         0.1010458150E+01
.1790692E+06    .9794696E+15    .1863511E+36    .2580403E+32        -0.5985921013E+00         0.5495848514E+00         0.1010858615E+01
.1826218E+06    .9786655E+15    .1859866E+36    .2734377E+32        -0.5982506419E+00         0.5497725444E+00         0.1011289924E+01
.1861744E+06    .9778635E+15    .1856235E+36    .2888620E+32        -0.5979100478E+00         0.5499598256E+00         0.1011706407E+01
.1898056E+06    .9769587E+15    .1852141E+36    .3067878E+32        -0.5975256715E+00         0.5501712577E+00         0.1012203987E+01
.1935155E+06    .9760890E+15    .1848209E+36    .3241616E+32        -0.5971561371E+00         0.5503746025E+00         0.1012656366E+01
.1972253E+06    .9751847E+15    .1844125E+36    .3428169E+32        -0.5967718229E+00         0.5505861600E+00         0.1013142399E+01
.2009352E+06    .9742828E+15    .1840055E+36    .3615024E+32        -0.5963884109E+00         0.5507973018E+00         0.1013612304E+01
.2047242E+06    .9732694E+15    .1835487E+36    .3831090E+32        -0.5959575109E+00         0.5510346915E+00         0.1014170576E+01
.2085924E+06    .9722941E+15    .1831095E+36    .4040654E+32        -0.5955427164E+00         0.5512633050E+00         0.1014679582E+01
.2124606E+06    .9712815E+15    .1826540E+36    .4265119E+32        -0.5951119494E+00         0.5515008222E+00         0.1015225188E+01
.2163287E+06    .9702713E+15    .1822000E+36    .4489919E+32        -0.5946821194E+00         0.5517379248E+00         0.1015753317E+01
.2202765E+06    .9691408E+15    .1816925E+36    .4748616E+32        -0.5942009588E+00         0.5520034632E+00         0.1016377430E+01
.2243038E+06    .9680516E+15    .1812041E+36    .4999705E+32        -0.5937372137E+00         0.5522595114E+00         0.1016948026E+01
.2283312E+06    .9669222E+15    .1806983E+36    .5268011E+32        -0.5932562637E+00         0.5525251846E+00         0.1017558307E+01
.2323585E+06    .9657955E+15    .1801943E+36    .5536686E+32        -0.5927762830E+00         0.5527904497E+00         0.1018149715E+01
.2364658E+06    .9645393E+15    .1796330E+36    .5844458E+32        -0.5922410001E+00         0.5530864281E+00         0.1018845072E+01
.2406531E+06    .9633275E+15    .1790922E+36    .6143382E+32        -0.5917244867E+00         0.5533721785E+00         0.1019482477E+01
.2448403E+06    .9620727E+15    .1785331E+36    .6462079E+32        -0.5911895000E+00         0.5536683045E+00         0.1020162787E+01
.2490276E+06    .9608206E+15    .1779758E+36    .6781179E+32        -0.5906555120E+00         0.5539640356E+00         0.1020822788E+01
.2532951E+06    .9594298E+15    .1773576E+36    .7145110E+32        -0.5900621290E+00         0.5542928460E+00         0.1021595048E+01
.2576429E+06    .9580866E+15    .1767615E+36    .7498815E+32        -0.5894889111E+00         0.5546106677E+00         0.1022304743E+01
.2619907E+06    .9566976E+15    .1761459E+36    .7875093E+32        -0.5888959196E+00         0.5549396446E+00         0.1023060691E+01
.2663385E+06    .9553114E+15    .1755325E+36    .8251807E+32        -0.5883039531E+00         0.5552682475E+00         0.1023794859E+01
.2707668E+06    .9537769E+15    .1748545E+36    .8679640E+32        -0.5876483849E+00         0.5556323831E+00         0.1024649947E+01
.2752757E+06    .9522934E+15    .1742001E+36    .9095719E+32        -0.5870144174E+00         0.5559847476E+00         0.1025437675E+01
.2797846E+06    .9507611E+15    .1735252E+36    .9537419E+32        -0.5863593489E+00         0.5563490751E+00         0.1026275134E+01
.2842934E+06    .9492318E+15    .1728527E+36    .9979588E+32        -0.5857053279E+00         0.5567130581E+00         0.1027089310E+01
.2888831E+06    .9475443E+15    .1721120E+36    .1047973E+33        -0.5849833906E+00         0.5571151151E+00         0.1028033420E+01
.2935534E+06    .9459114E+15    .1713965E+36    .1096644E+33        -0.5842845290E+00         0.5575045976E+00         0.1028905197E+01
.2982238E+06    .9442267E+15    .1706596E+36    .1148206E+33        -0.5835632166E+00         0.5579068776E+00         0.1029830300E+01
.3028942E+06    .9425451E+15    .1699254E+36    .1199818E+33        -0.5828429706E+00         0.5583088525E+00         0.1030730597E+01
.3076455E+06    .9406954E+15    .1691194E+36    .1257971E+33        -0.5820503895E+00         0.5587515329E+00         0.1031770205E+01
.3124778E+06    .9389038E+15    .1683402E+36    .1314595E+33        -0.5812823990E+00         0.5591808136E+00         0.1032732320E+01
.3173101E+06    .9370574E+15    .1675388E+36    .1374465E+33        -0.5804905911E+00         0.5596237528E+00         0.1033751474E+01
.3221424E+06    .9352142E+15    .1667405E+36    .1434387E+33        -0.5796998648E+00         0.5600664370E+00         0.1034744282E+01
.3270558E+06    .9331928E+15    .1658667E+36    .1501653E+33        -0.5788322805E+00         0.5605525527E+00         0.1035886155E+01
.3320503E+06    .9312332E+15    .1650216E+36    .1567187E+33        -0.5779908445E+00         0.5610244203E+00         0.1036945186E+01
.3370448E+06    .9292157E+15    .1641534E+36    .1636344E+33        -0.5771242128E+00         0.5615108326E+00         0.1038065071E+01
.3420394E+06    .9272017E+15    .1632886E+36    .1705556E+33        -0.5762586748E+00         0.5619970519E+00         0.1039157066E+01
.3471152E+06    .9249990E+15    .1623451E+36    .1782974E+33        -0.5753116467E+00         0.5625295310E+00         0.1040408284E+01
.3522724E+06    .9228619E+15    .1614318E+36    .1858438E+33        -0.5743923729E+00         0.5630468875E+00         0.1041571102E+01
.3574296E+06    .9206640E+15    .1604949E+36    .1937925E+33        -0.5734465195E+00         0.5635796992E+00         0.1042798687E+01
.3625867E+06    .9184697E+15    .1595619E+36    .2017468E+33        -0.5725017690E+00         0.5641123930E+00         0.1043996838E+01
.3678254E+06    .9160761E+15    .1585467E+36    .2106140E+33        -0.5714707746E+00         0.5646942896E+00         0.1045364814E+01
.3731457E+06    .9137520E+15    .1575637E+36    .2192618E+33        -0.5704691985E+00         0.5652601573E+00         0.1046638599E+01
.3784659E+06    .9113642E+15    .1565565E+36    .2283536E+33        -0.5694396589E+00         0.5658424147E+00         0.1047981152E+01
.3837862E+06    .9089800E+15    .1555535E+36    .2374512E+33        -0.5684112298E+00         0.5664246428E+00         0.1049292737E+01
.3891883E+06    .9063858E+15    .1544654E+36    .2475603E+33        -0.5672916575E+00         0.5670591513E+00         0.1050785249E+01
.3946722E+06    .9038650E+15    .1534112E+36    .2574235E+33        -0.5662032413E+00         0.5676766836E+00         0.1052177513E+01
.4001561E+06    .9012776E+15    .1523324E+36    .2677744E+33        -0.5650854828E+00         0.5683115638E+00         0.1053642614E+01
.4056401E+06    .8986940E+15    .1512584E+36    .2781311E+33        -0.5639688426E+00         0.5689465178E+00         0.1055075234E+01
.4112063E+06    .8958892E+15    .1500962E+36    .2896044E+33        -0.5627559764E+00         0.5696369925E+00         0.1056700475E+01
.4168548E+06    .8931620E+15    .1489699E+36    .3008028E+33        -0.5615761008E+00         0.5703094899E+00         0.1058219079E+01
.4225033E+06    .8903652E+15    .1478186E+36    .3125340E+33        -0.5603655141E+00         0.5710003170E+00         0.1059814650E+01
.4281517E+06    .8875725E+15    .1466729E+36    .3242709E+33        -0.5591560564E+00         0.5716913356E+00         0.1061376256E+01
.4338831E+06    .8845467E+15    .1454359E+36    .3372365E+33        -0.5578450470E+00         0.5724413198E+00         0.1063142888E+01
.4396973E+06    .8816031E+15    .1442370E+36    .3498954E+33        -0.5565689937E+00         0.5731722517E+00         0.1064796086E+01
.4455116E+06    .8785871E+15    .1430129E+36    .3631332E+33        -0.5552608743E+00         0.5739225201E+00         0.1066530419E+01
.4513258E+06    .8755752E+15    .1417951E+36    .3763764E+33        -0.5539539009E+00         0.5746731119E+00         0.1068229340E+01
.4572238E+06    .8723178E+15    .1404832E+36    .3909681E+33        -0.5525397194E+00         0.5754863789E+00         0.1070146589E+01
.4632056E+06    .8691475E+15    .1392115E+36    .4052178E+33        -0.5511626387E+00         0.5762794160E+00         0.1071943070E+01
.4691874E+06    .8659019E+15    .1379148E+36    .4200931E+33        -0.5497521535E+00         0.5770928231E+00         0.1073824877E+01
.4751691E+06    .8626606E+15    .1366251E+36    .4349736E+33        -0.5483428430E+00         0.5779066995E+00         0.1075669867E+01
.4812359E+06    .8591602E+15    .1352383E+36    .4513312E+33        -0.5468202067E+00         0.5787873114E+00         0.1077747648E+01
.4873877E+06    .8557524E+15    .1338942E+36    .4673071E+33        -0.5453370656E+00         0.5796463716E+00         0.1079696609E+01
.4935396E+06    .8522663E+15    .1325254E+36    .4839556E+33        -0.5438191986E+00         0.5805268657E+00         0.1081735084E+01
.4996914E+06    .8487846E+15    .1311644E+36    .5006086E+33        -0.5423025535E+00         0.5814079870E+00         0.1083735389E+01
.5059300E+06    .8450290E+15    .1297034E+36    .5188786E+33        -0.5406658127E+00         0.5823603803E+00         0.1085984488E+01
.5122554E+06    .8413719E+15    .1282877E+36    .5367216E+33        -0.5390713119E+00         0.5832896951E+00         0.1088095739E+01
